L 07/11/2022 - 00:05:23: SourceMod log file session started (file "/home/steam/l4d2/left4dead2/addons/sourcemod/logs/L20220711.log") (Version "1.10.0.6528")
L 07/11/2022 - 00:05:23: [basechat.smx] "Altair<86><STEAM_1:0:90628109><>" triggered sm_say (text o Miguel entrou no lugar do bot)
L 07/11/2022 - 00:05:32: [basechat.smx] "Altair<86><STEAM_1:0:90628109><>" triggered sm_say (text e acabou tomando um ataque )
L 07/11/2022 - 00:05:40: [basechat.smx] "Miguel<88><STEAM_1:1:452964136><>" triggered sm_say (text sorry, amigos kkk)
L 07/11/2022 - 00:05:48: [basechat.smx] "Altair<86><STEAM_1:0:90628109><>" triggered sm_say (text vou colocar 80 de hp pro bot)
L 07/11/2022 - 00:05:52: [basechat.smx] "Altair<86><STEAM_1:0:90628109><>" triggered sm_say (text ok?)
L 07/11/2022 - 00:06:10: [basechat.smx] "Altair<86><STEAM_1:0:90628109><>" triggered sm_say (text vou remover o pause)
L 07/11/2022 - 01:12:19: SourceMod log file session started (file "/home/steam/l4d2/left4dead2/addons/sourcemod/logs/L20220711.log") (Version "1.10.0.6528")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minrate") (value "100000")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "100000")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "100")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "100")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "10sm_cvar")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxrate") (value "100000")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_minupdaterate") (value "100")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxupdaterate") (value "100")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_mincmdrate") (value "100")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_maxcmdrate") (value "100")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_min_interp_ratio") (value "-1")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_client_max_interp_ratio") (value "0")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "nb_update_frequency") (value "0.014")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "net_splitpacket_maxrate") (value "50000")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "fps_max") (value "0")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allowupload") (value "0")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sv_allowdownload") (value "0")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "tick_door_speed") (value "1.30")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "sb_all_bot_game") (value "1")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "allow_all_bot_survivor_team") (value "0")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_tank_chance_intro") (value "1")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_tank_chance") (value "1")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_tank_chance_finale") (value "1")
L 07/11/2022 - 01:12:19: [basecommands.smx] "Console<0><Console><Console>" changed cvar (cvar "versus_witch_chance_intro") (value "1")
